"耳套","652"
"风扇/换气扇配件","653"
"牙刷头","654"
"净水/饮水机配件耗材","655"
"吸管","670"
"运动风衣","671"
"面部精华","672"
"豆奶","673"
"面膜","675"
"喂药器","677"
"CPU","678"
"显卡","679"
"内存","680"
"主板","681"
"散热器","682"
"硬盘","683"
"刻录机/光驱","684"
"瓜子","686"
"机箱","687"
"老花镜","688"
"电蒸锅","689"
"呢大衣","690"
"电源","691"
"摄像头","692"
"DHA/核桃油","693"
"LED电视","694"
"硬盘盒","695"
"游戏设备","696"
"手写板","698"
"自行车包","699"
"路由器","700"
"动漫水杯/居家/百货","701"
"交换机","702"
"服务产品","703"
"防晒","716"
"药品","717"
"传真设备","718"
"核桃/纸皮核桃","720"
"扫描设备","721"
"其他保养","722"
"碎纸机","723"
"考勤机","724"
"验钞/点钞机","725"
"计算器","728"
"塑身美体裤","729"
"硒鼓/墨粉","730"
"墨盒","731"
"色带","733"
"水杯","736"
"其它饮料","737"
"袋装奶茶","738"
"防抓手套/护脚/护膝","739"
"套锅/户外炊具","740"
"发条玩具","741"
"婴儿浴巾","742"
"夏威夷果","745"
"取暖电器","747"
"加湿器","748"
"文件夹","749"
"饮水机","750"
"双皮奶/姜汁撞奶","751"
"水平仪","752"
"腰带/皮带/腰链","753"
"滑雪鞋/雪地靴","754"
"醋制品","755"
"螺旋藻/藻类提取物","756"
"棉裤/羽绒裤","757"
"车釉/车漆镀膜","758"
"杜仲","759"
"雨鞋","760"
"咖啡机","761"
"中西药品中西药","762"
"其它生肉制品","794"
"速干衬衣","795"
"面部按摩霜","798"
"收录/音机","801"
"其它厨房电器","803"
"速干裤","806"
"赠品","807"
"赠品","808"
"家庭影院","823"
"中西药品","825"
"栗类制品","826"
"其他配件","828"
"榴莲干","829"
"被子/蚕丝被/羽绒被/棉被","830"
"数码相机","831"
"框架眼镜","832"
"摄像机","833"
"镜头","834"
"滤镜","835"
"闪光灯/手柄","836"
"私处护理","837"
"电子词典","838"
"录音笔","840"
"包带","841"
"眼镜片","842"
"数码相框","844"
"芒果干","845"
"读卡器","846"
"相机包","847"
"三脚架/云台","848"
"相机清洁/贴膜","851"
"口腔护理/治疗","854"
"电池/移动电源","860"
"刮板","862"
"菠萝蜜","863"
"方向盘锁","864"
"梅类制品","866"
"打印纸","867"
"电动车护膝","868"
"复合维生素/矿物质","869"
"黑米","870"
"褪黑素/松果体素","877"
"足浴盆/足浴桶","878"
"纸皮/薄皮核桃","880"
